cation,anion_family,compound_name,formula,base_formula,hydration,hydration_formula,phase_at_25C,state_description,molar_mass_g_per_mol,DfH0_kJ_per_mol,DfH_298K_kJ_per_mol,DfG_298K_kJ_per_mol,H_H0_298K_kJ_per_mol,S_298K_J_per_molK,Cp_298K_J_per_molK,Cp_mass_J_per_kgK_298K,Tm_C,Tm_K,Tb_C,Tb_K,Td_C,Hfus_kJ_per_mol,Hvap_kJ_per_mol,Hsub_kJ_per_mol,density_g_per_cm3,thermal_conductivity_W_per_mK,viscosity_mPa_s,hardness_Mohs,stability_range_C_min,stability_range_C_max,decomposition_products,Cp_equation_type,Cp_coeff_a,Cp_coeff_b,Cp_coeff_c,Cp_temp_range_K_min,Cp_temp_range_K_max,pressure_kPa,source_thermodynamic,source_physical_properties,source_transition_temps,data_quality,CAS,notes,CID_pubchem,color,odor,solubility,stability,toxicity_hazard,Tm_C_pubchem,Tb_C_pubchem,Td_C_pubchem,density_pubchem,flash_point_C,vapor_pressure_mmHg
Cr,chloride,,CrCl2·4H2O,CrCl2,4-hydrate,4H2O,solid,dark blue,194.9636,,-1608.3,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Cr,sulfate,,Cr2(SO4)3·18H2O,Cr2(SO4)3,18-hydrate,18H2O,solid,,716.454,,,,,,933.0,1302.246899312447,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Zr,fluoride,Zirconium tetrafluoride,ZrF4·H2O,ZrF4,monohydrate,H2O,solid,,185.229,,-2207.5,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Zr,fluoride,Zirconium tetrafluoride,ZrF4·3H2O,ZrF4,trihydrate,3H2O,solid,,221.2598,,-2802.9,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Zr,chloride,,ZrOCl2·2H2O,ZrOCl2,dihydrate,2H2O,solid,,214.1562,,-1677.4,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Zr,chloride,,ZrOCl2·3.5H2O,ZrOCl2·3,5-hydrate,5H2O,solid,,241.1793,,-2135.5,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Zr,chloride,,ZrOCl2·6H2O,ZrOCl2,6-hydrate,6H2O,solid,,286.2178,,-2884.9,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Zr,chloride,,ZrOCl2·8H2O,ZrOCl2,8-hydrate,8H2O,solid,,322.2486,,-3471.9,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Zr,sulfate,,Zr(SO4)2·H2O,Zr(SO4)2,monohydrate,H2O,solid,,301.3586,,-2553.9,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Zr,sulfate,,Zr(SO4)2·4H2O,Zr(SO4)2,4-hydrate,4H2O,solid,,355.4048,,-3454.3,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Y,chloride,Yttrium chloride,YCl3·6H2O,YCl3,6-hydrate,6H2O,solid,,303.3564,,-2892.4,-2477.0,,385.0,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Y,sulfate,,Y2(SO4)3·8H2O,Y2(SO4)3,8-hydrate,8H2O,solid,,610.118,,,-5572.9,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ce,fluoride,Cerium(III) fluoride,CeF3·H2O,CeF3,monohydrate,H2O,solid,,215.1306,,-1976.5,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ce,chloride,Cerium(III) chloride,CeCl3·7H2O,CeCl3,7-hydrate,7H2O,solid,,372.5868,,-3169.4,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ce,sulfate,Cerium(III) sulfate,Ce2(SO4)3·5H2O,Ce2(SO4)3,5-hydrate,5H2O,solid,,658.5018,,,,,,552.0,838.2665013216365,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Ce,sulfate,Cerium(III) sulfate,Ce2(SO4)3·8H2O,Ce2(SO4)3,8-hydrate,8H2O,solid,,712.548,,,-5524.8,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
La,fluoride,Lanthanum fluoride,LaF3·H2O,LaF3,monohydrate,H2O,solid,,213.9206,,-1987.4,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
La,chloride,Lanthanum chloride,LaCl3·7H2O,LaCl3,7-hydrate,7H2O,solid,,371.3768,,-3178.6,-2712.9,71.63,462.8,431.0,1160.5463776951065,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
La,sulfate,,La2(SO4)3·9H2O,La2(SO4)3,9-hydrate,9H2O,solid,,728.1434,,-6648.0,,,,636.0,873.4543223216746,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mg,chloride,Magnesium chloride,MgCl2·H2O,MgCl2,monohydrate,H2O,solid,,113.2334,,-966.63,-861.74,,137.2,115.27,1017.985859295932,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mg,chloride,Magnesium chloride,MgCl2·2H2O,MgCl2,dihydrate,2H2O,solid,,131.2488,,-1279.72,-1118.0,,179.9,159.2,1212.963470904115,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mg,chloride,Magnesium chloride,MgCl2·4H2O,MgCl2,4-hydrate,4H2O,solid,,167.2796,,-1898.99,-1623.29,,264.0,241.42,1443.2124419235818,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Mg,chloride,Magnesium chloride,MgCl2·6H2O,MgCl2,6-hydrate,6H2O,solid,,203.3104,,-2499.02,-2114.64,,366.1,315.06,1549.6501900542228,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
