cation,anion_family,compound_name,formula,base_formula,hydration,hydration_formula,phase_at_25C,state_description,molar_mass_g_per_mol,DfH0_kJ_per_mol,DfH_298K_kJ_per_mol,DfG_298K_kJ_per_mol,H_H0_298K_kJ_per_mol,S_298K_J_per_molK,Cp_298K_J_per_molK,Cp_mass_J_per_kgK_298K,Tm_C,Tm_K,Tb_C,Tb_K,Td_C,Hfus_kJ_per_mol,Hvap_kJ_per_mol,Hsub_kJ_per_mol,density_g_per_cm3,thermal_conductivity_W_per_mK,viscosity_mPa_s,hardness_Mohs,stability_range_C_min,stability_range_C_max,decomposition_products,Cp_equation_type,Cp_coeff_a,Cp_coeff_b,Cp_coeff_c,Cp_temp_range_K_min,Cp_temp_range_K_max,pressure_kPa,source_thermodynamic,source_physical_properties,source_transition_temps,data_quality,CAS,notes,CID_pubchem,color,odor,solubility,stability,toxicity_hazard,Tm_C_pubchem,Tb_C_pubchem,Td_C_pubchem,density_pubchem,flash_point_C,vapor_pressure_mmHg
Zn,metaphosphate,,Zn(PO3)2,Zn(PO3)2,anhydrous,,solid,,223.314,,-2083.2,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Zn,metaphosphate,,Zn(PO3)2,Zn(PO3)2,anhydrous,,amorphous,,223.314,,-2030.5,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Zn,pyrophosphate,,Zn2(P2O7),Zn2(P2O7),anhydrous,,solid,,304.6834,,-2510.4,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Zn,phosphate,,Zn3(PO4)2,Zn3(PO4)2,anhydrous,,solid,,386.0528,,-2892.4,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Zn,phosphate,,Zn3P4O13,Zn3P4O13,anhydrous,,amorphous,,527.9974,,-4479.4,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Zn,phosphate,,Zn5(P3O10)2,Zn5(P3O10)2,anhydrous,,amorphous,,832.6808,,-6916.6,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Zn,carbonate,Zinc carbonate,ZnCO3,ZnCO3,anhydrous,,solid,,125.3794,,-812.78,-731.52,,82.4,79.71,635.7503704755326,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,129627956.0,,,,,,,,,,,
Zn,oxide,,ZnSiO3,ZnSiO3,anhydrous,,solid,,141.4542,,-1260.2,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Zn,oxide,,Zn2SiO4,Zn2SiO4,anhydrous,,solid,,222.8236,,-1636.74,-1523.16,,131.4,123.34,553.5320316160406,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Zn,borate,,Zn(BO2)2,Zn(BO2)2,anhydrous,,solid,,150.9896,,,-1562.99,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Zn,oxide,,ZnAl2O4,ZnAl2O4,anhydrous,,solid,,183.3306,,-2065.2,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Al,chloride,,Al2Cl6·1.5ZnCl2,Al2Cl6·1.5ZnCl2,anhydrous,,solid,,471.095,,-1992.8,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Cu,oxide,Copper(II) oxide,CuO,CuO,anhydrous,,solid,,79.5394,,-157.3,-129.7,,42.63,42.3,531.8119070548684,1326.0,1599.15,,,,,,,6.31,,,,,,,,,,,,,101.325,NBS Tables,,,A,1317-38-0,,14829.0,,,,,,,,,,,
Cu,oxide,Copper(I) oxide,Cu2O,Cu2O,anhydrous,,solid,,143.0794,,-168.6,-146.0,,93.14,63.64,444.7879988314181,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,1308-76-5,,10313194.0,,,,,,,,,,,
Cu,fluoride,Copper(II) fluoride,CuF2,CuF2,anhydrous,,solid,,101.5368,,-542.7,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,7789-19-7,,522688.0,,,,,,,,,,,
Cu,chloride,Copper(I) chloride,CuCl,CuCl,anhydrous,,solid,,98.993,,-137.2,-119.86,,86.2,48.5,489.9336316709262,430.0,703.15,1490.0,1763.15,,10.2,,,4.14,,,,,,,,,,,,,101.325,NBS Tables,,,A,7758-89-6,,,,,,,,,,,,,
Cu,chloride,Copper(II) chloride,CuCl2,CuCl2,anhydrous,,solid,,134.446,-220.87,-220.1,-175.7,14.983,108.07,71.88,534.6384421998422,498.0,771.15,993.0,1266.15,993.0,15.0,,,3.386,,,,,,,,,,,,,101.325,NBS Tables,,,A,7447-39-4,,24014.0,"Yellow to brown, microcrystalline powder; Yellow-brown, monoclinic crystals",,"Green to blue powder or orthorhombic, bipyramidal crystals; deliquescent in moist air, efflorescent in dry air; water loss occurs from 70-200 °C; mp 100 °C; ... freely sol in water, methanol, ethanol; moderately sol in acetone, ethyl acetate; slightly sol in ether. The aq soln is acid to litmus; pH of 0.2 molar soln 3.6; /Dihydrate/; Soluble in acetone.; SOL IN HOT SULFURIC ACID.; 70.6 g/100 cc water @ 0 °C, 107.9 g/100 cc water @ 100 °C; 53 g/100 cc alcohol @ 15 °C; For more Solubility (Complete) data for COPPER(II) CHLORIDE (6 total), please visit the HSDB record page.",Forms dihydrate in moist air.,,630.0,993.0,,,,
Cu,chloride,,Cu2OCl2,Cu2OCl2,anhydrous,,solid,,213.9854,,-377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Cu,chloride,,CuCl2·3CuO,CuCl2·3CuO,anhydrous,,solid,,373.0642,,-686.2,,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Cu,chloride,,CuCl2·3Cu(OH)2,CuCl2·3Cu(OH)2,anhydrous,,solid,,427.1104,,,-1339.5,,,,,,,,,,,,,,,,,,,,,,,,,,101.325,NBS Tables,,,A,,,,,,,,,,,,,,
Cu,sulfide,Copper(II) sulfide,CuS,CuS,anhydrous,,solid,,95.604,,-53.1,-53.6,,66.5,47.82,500.1882766411448,,,,,500.0,,,,4.76,,,,,,,,,,,,,101.325,NBS Tables,,,A,1317-40-4,,,,,,,,,,,,,
Cu,sulfide,Copper(I) sulfide,Cu2S,Cu2S,anhydrous,,solid,α,159.144,,-79.5,-86.2,,120.9,76.32,479.5656763685718,1129.0,1402.15,,,,,,,5.6,,,,,,,,,,,,,101.325,NBS Tables,,,A,22205-45-4,,,,,,,,,,,,,
Cu,sulfate,Copper(II) sulfate,CuSO4,CuSO4,anhydrous,,solid,,159.6016,,-771.36,-661.8,,109.0,100.0,626.5601347354915,110.0,383.15,650.0,923.15,650.0,,,,3.603,,,,,,,,,,,,,101.325,NBS Tables,,,A,7758-98-7,,24462.0,Grayish-white to greenish-white rhombic crystals or amorphous powder /SRP: somewhat wet/; White when dehydrated; Gray to white and has rhombic crystals,,"Very soluble in hot water, soluble cold water; Soluble in methanol (1.1 g/100 ml), but insoluble in ethanol; it readily dissolves in aqueous ammonia and excess alkali metal cyanides, with the formation of complexes; In water, 243 g/l @ 0 °C.; 75.4 g/100 cc water @ 100 °C; 1.04 g/100 cc methanol @ 18 °C; Solubility in water, g/l at 20Â °C: 203 (freely soluble)",,,590.0,650.0,,,,
